State,Total_families,With_children,Total_children,Avg_per_family,Avg_per_family_with_children
Alabama,1215968,561458,989799,0.81,1.76
Alaska,152337,88484,174113,1.14,1.97
Arizona,1287367,608218,1197438,0.93,1.97
Arkansas,732261,334604,601711,0.82,1.80
California,7920049,4117036,8035222,1.01,1.95
Colorado,1084461,543588,1004792,0.93,1.85
Connecticut,881170,419285,772790,0.88,1.84
Delaware,204590,95175,172150,0.84,1.81
District,of,Columbia,114166,49104,88899,0.78,1.81
Florida,4210760,1779586,3200461,0.76,1.80
Georgia,2111647,1051302,1899303,0.90,1.81
Hawaii,287068,129322,239483,0.83,1.85
Idaho,335588,170463,343031,1.02,2.01
Illinois,3105513,1514561,2884036,0.93,1.90
Indiana,1602501,767836,1432898,0.89,1.87
Iowa,769684,361153,686153,0.89,1.90
Kansas,701547,345091,659418,0.94,1.91
Kentucky,1104398,516344,901105,0.82,1.75
Louisiana,1156438,572053,1049117,0.91,1.83
Maine,340685,157325,279827,0.82,1.78
Maryland,1359318,662172,1194489,0.88,1.80
Massachusetts,1576696,748865,1382189,0.88,1.85
Michigan,2575699,1236713,2347192,0.91,1.90
Minnesota,1255141,626291,1210443,0.96,1.93
Mississippi,747159,363416,657312,0.88,1.81
Missouri,1476516,699779,1293406,0.88,1.85
Montana,237407,111807,211642,0.89,1.89
Nebraska,443411,217636,420245,0.95,1.93
Nevada,498333,238846,451743,0.91,1.89
New,Hampshire,323651,158410,289296,0.89,1.83
New,Jersey,2154539,1025556,1880026,0.87,1.83
New,Mexico,466515,235030,445404,0.95,1.90
New,York,4639387,2231381,4155866,0.90,1.86
North,Carolina,2158869,995648,1744451,0.81,1.75
North,Dakota,166150,80453,152563,0.92,1.90
Ohio,2993023,1409912,2632157,0.88,1.87
Oklahoma,921750,434793,796868,0.86,1.83
Oregon,877671,410803,766709,0.87,1.87
Pennsylvania,3208388,1430808,2653125,0.83,1.85
Rhode,Island,265398,124867,228391,0.86,1.83
South,Carolina,1072822,495276,875535,0.82,1.77
South,Dakota,194330,95180,185835,0.96,1.95
Tennessee,1547835,707305,1239200,0.80,1.75
Texas,5247794,2723330,5164472,0.98,1.90
Utah,535294,299746,663394,1.24,2.21
Vermont,157763,76409,138281,0.88,1.81
Virginia,1847796,881893,1561010,0.84,1.77
Washington,1499127,742481,1385475,0.92,1.87
West,Virginia,504055,213072,363929,0.72,1.71
Wisconsin,1386815,665239,1273539,0.92,1.91
Wyoming,130497,63263,118704,0.91,1.88
